Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Under Construction,981,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment,9306615.177930769
Ready to move,438,5707,1 BHK Apartment in Lotus Homz,Sector 111,Not approved by RERA,1,Apartment,2569242.96226055
Under Construction,1383,22431,3 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,3,Apartment,31000000.00000108
Ready to move,3916,17500,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,67688034.87936334
Ready to move,1350,15925,2 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,2,Apartment,20619080.887553282
Ready to move,1530,5098,3 BHK Independent Floor,Sector 23 Gurgaon,Not approved by RERA,3,Plot,7738159.320563688
Under Construction,1454,8629,3 BHK Independent Floor in Landmark Avana 1st Phase,Sector 95,Approved by RERA,3,Floor,12503347.68390381
Ready to move,6060,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,133299999.99999999
Ready to move,1841,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment,37100000.00000148
Ready to move,2122,10000,3 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,3,Apartment,21180070.191636983
Under Construction,2150,23000,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment,49399999.999995336
Ready to move,1370,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,16701495.593795992
Ready to move,2045,15452,3 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,3,Apartment,31629414.56706039
Ready to move,2430,10288,3 BHK Apartment in Ashley Estate Floors 3,Sector 43,Not approved by RERA,3,Apartment,24762643.48195455
Under Construction,1123,8548,2 BHK Independent Floor in Smart Smart World Gems,Sector 89,Approved by RERA,2,Floor,9601621.904706493
Ready to move,1900,11578,3 BHK Apartment in Emaar Palm Gardens,Sector 83,Not approved by RERA,3,Apartment,22076638.68845411
Resale,9000,11111,Residential Plot in south city 1 E Block,South City I,Not approved by RERA,1,Plot,99999999.99999352
Ready to move,800,8125,2 BHK Apartment in Shree Vardhman Mantra,Sector 67,Not approved by RERA,2,Apartment,6570004.772072945
Under Construction,2599,13466,4 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,4,Apartment,34889027.143809706
Ready to move,4337,19598,4 BHK Apartment in Pioneer Park Presidia,Sector 62,Not approved by RERA,4,Apartment,85011155.33401757
Ready to move,3709,11950,3 BHK Apartment in M3M Panorama Suites,Sector 65,Not approved by RERA,3,Apartment,44288746.47129142
Under Construction,2035,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,24397983.508493803
Ready to move,2300,8695,4 BHK Independent Floor in Paramount Luxury Floors Sector 57,Sector 57,Not approved by RERA,4,Floor,19981653.687932376
Ready to move,1326,8446,3 BHK Apartment in Tulip White,Sector 69,Not approved by RERA,3,Apartment,11284808.071621953
Under Construction,2325,11700,3 BHK Apartment in Kashish Manor One,Sector 111,Approved by RERA,3,Apartment,27258703.860542104
Ready to move,2100,12380,3 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,3,Floor,26066779.300675448
Ready to move,3600,7222,5 BHK Independent Floor,Sector 50,Not approved by RERA,5,Plot,25475586.071708664
Ready to move,1915,7510,2 BHK Apartment in Corona Optus,Sector 37C,Not approved by RERA,2,Apartment,14692611.658623723
Ready to move,1205,10456,2 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,2,Apartment,12596424.732315566
Ready to move,2864,23044,4 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,4,Apartment,66913765.85034335
Ready to move,1400,20801,2 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,2,Apartment,29100000.00000232
Under Construction,2262,19000,3 BHK Apartment in Emaar Urban Oasis,Sector 62,Approved by RERA,3,Apartment,42900000.00000124
Ready to move,1250,13000,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment,16186243.494114332
Under Construction,2275,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment,37499999.99999867
Under Construction,2520,21301,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,53576395.624330506
Ready to move,3888,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,85499999.99999711
Ready to move,1850,9945,3 BHK Apartment in Godrej Oasis,Sector 88A,Not approved by RERA,3,Apartment,18431159.225536328
Ready to move,1343,27854,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment,37260983.73938203
Ready to move,2450,29940,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment,72372871.84517728
Ready to move,6000,12000,5 BHK Apartment in Paras Quartier,Gwal Pahari,Not approved by RERA,5,Apartment,73255380.20213965
Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39099999.99999749
Under Construction,7582,16500,5 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,5,Apartment,125151321.38068137
Ready to move,3763,11294,3 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,3,Apartment,42494849.80996253
Under Construction,1358,16000,2 BHK Apartment in M3M Skycity,Sector 65,Approved by RERA,2,Apartment,22942036.757467244
Ready to move,1950,12820,3 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Not approved by RERA,3,Floor,24979230.064572036
Ready to move,1350,22148,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,29795430.997341678
Ready to move,2300,7391,3 BHK Independent Floor in Vatika Independent Floors,Sector 83,Not approved by RERA,3,Floor,17127340.537686534
Under Construction,3600,15277,4 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,4,Apartment,54950357.009781264
Under Construction,2384,15500,3 BHK Apartment in Signature Global City 63A,Sector 63A,Approved by RERA,3,Apartment,36756857.355465144
Ready to move,2675,11250,4 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,4,Apartment,30582370.093424328
Under Construction,2095,12362,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Approved by RERA,3,Apartment,26012877.70651231
Ready to move,1400,9700,2 BHK Apartment in Vatika Primrose Floors,Sector 82,Not approved by RERA,2,Apartment,13533437.376878401
Ready to move,4944,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,108712472.05446571
Ready to move,917,6504,3 BHK Apartment in Signature Global The Roselia,Sector 95A,Not approved by RERA,3,Apartment,5968022.898932733
Under Construction,2408,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,28799999.999998398
Ready to move,2215,13234,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,29296217.292333443
Under Construction,1457,5353,2 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Approved by RERA,2,Apartment,8104731.649261333
Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment,27500000.000000406
Under Construction,1450,12000,3 BHK Apartment in SS Cendana Residence,Sector 83,Approved by RERA,3,Apartment,17397965.27696042
Ready to move,1689,11545,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,19502876.60729251
Under Construction,3802,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment,62699999.99999395
Ready to move,4500,8888,4 BHK Apartment in Bargainer Modern Premium Floor,Sector 52,Not approved by RERA,4,Apartment,39831926.22317792
Ready to move,2200,5454,3 BHK Apartment in Ansal Valley View Estate,Gwal Pahari,Not approved by RERA,3,Apartment,11984048.837104272
Under Construction,3050,12524,3 BHK Apartment,Sector 84,Not approved by RERA,3,Plot,38334849.506007686
Ready to move,2065,15980,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment,33015288.107825805
Under Construction,2000,7400,3 BHK Apartment in M3M Skywalk,Sector 74,Approved by RERA,3,Apartment,14806964.76257546
Under Construction,2343,9308,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment,21817809.569672037
Under Construction,2055,14300,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,29304452.822550606
Ready to move,1550,7350,2 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,2,Apartment,11303894.34320018
Ready to move,2350,4255,3 BHK Independent Floor,Sector 23 Gurgaon,Not approved by RERA,3,Plot,9750290.21121461
Under Construction,539,4000,2 BHK Apartment in Zara Rossa,Sector 112,Approved by RERA,2,Apartment,2192840.4700480606
Ready to move,3600,7149,4 BHK Independent Floor,Sector 49,Not approved by RERA,4,Plot,25627454.765414186
Ready to move,1099,13467,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,2,Apartment,14800735.197445396
Under Construction,1690,11597,3 BHK Independent Floor in Whiteland Blissville,Sector 76,Approved by RERA,3,Floor,19598488.46019473
Ready to move,4800,10000,4 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,4,Apartment,47883946.62598032
Ready to move,1390,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,28000000.000000887
Ready to move,7000,7714,5 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,5,Apartment,53820440.19535512
Ready to move,6350,10866,5 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,5,Apartment,68975799.37410238
Ready to move,2215,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,35801905.31768231
Under Construction,1372,21301,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,29200000.00000189
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Under Construction,1600,16500,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,3,Apartment,26402966.583641585
Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,72099999.99999453
Ready to move,1850,5891,3 BHK Apartment in Reputed Builder Surya Apartments,Sector 56,Not approved by RERA,3,Apartment,11001425.404733218
Ready to move,1692,12514,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,3,Apartment,21098992.90746185
Ready to move,2250,11111,3 BHK Apartment in Investors Guide Floor 1,DLF Phase 2,Not approved by RERA,3,Apartment,25000000.000000942
Ready to move,2200,9772,4 BHK Independent Floor,Sector 24,Not approved by RERA,4,Plot,21532735.6569952
Ready to move,2350,7100,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,3,Apartment,16696600.248291774
Ready to move,4200,13095,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,56586948.042695306
Ready to move,1855,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment,38500000.00000207
Ready to move,2700,11111,4 BHK Independent Floor in Today Developer 5,Sector 43,Not approved by RERA,4,Floor,29999999.999999408
Under Construction,1082,11182,3 BHK Apartment in Signature Global Park 4 And 5 Phase II,Sector 36 Sohna,Approved by RERA,3,Apartment,11995064.309538588
Ready to move,9000,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment,198265113.79384628
Under Construction,2595,15919,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Approved by RERA,3,Apartment,40254832.123670615
Ready to move,1200,3750,3 BHK Independent Floor,Jacombpura,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Approved by RERA,2,Apartment,10699999.999999328
Ready to move,4480,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,98510879.55718008
Ready to move,2605,15523,3 BHK Apartment in Unitech The Close North,Sector 50,Not approved by RERA,3,Apartment,40208362.88376659
Ready to move,2200,11136,3 BHK Apartment in TGS Luxury Builder Floor TGS 240,Sector 52,Not approved by RERA,3,Apartment,24449137.133237645
Ready to move,1745,10315,3 BHK Apartment in ATS Tourmaline,Sector 109,Not approved by RERA,3,Apartment,17991117.22936138
Ready to move,2350,6765,4 BHK Independent Floor,Sector 65,Not approved by RERA,4,Plot,15874505.86347187
Ready to move,1351,12000,2 BHK Apartment in Godrej Aria,Sector 79,Not approved by RERA,2,Apartment,16285857.804883013
Ready to move,1862,5155,3 BHK Apartment in Anant Raj Maceo,Sector 91,Not approved by RERA,3,Apartment,9650061.946604993
Ready to move,720,6388,1 BHK Apartment in Ameya Sapphire Eighty Three,Sector 83,Not approved by RERA,1,Apartment,4535693.625197299
Ready to move,3536,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment,134198999.63096568
Under Construction,6353,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment,127000000.00000449
Under Construction,1496,9007,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment,13400000.000000916
Under Construction,1855,9623,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment,18005315.284388438
Ready to move,1219,8000,2 BHK Apartment in M3M Sierra 68,Sector 68,Not approved by RERA,2,Apartment,9751359.49543899
Ready to move,4272,26950,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment,112324365.11095746
Ready to move,2688,25000,4 BHK Apartment in Sweta Estates Central Park Phase 1,Atta,Not approved by RERA,4,Apartment,66262514.24689112
Under Construction,3890,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,72099999.99999453
Ready to move,1298,7241,3 BHK Apartment in Sare Crescent Green Park,Sector 92,Not approved by RERA,3,Apartment,9283469.456329368
Ready to move,2700,9259,4 BHK Independent Floor,DLF CITY PHASE V,Not approved by RERA,4,Plot,25031473.697802186
Ready to move,1021,8814,2 BHK Apartment in Godrej Oasis,Sector 88A,Not approved by RERA,2,Apartment,9366399.522357736
Ready to move,1865,9651,3 BHK Apartment in BPTP Spacio,Sector 37D,Not approved by RERA,3,Apartment,17968378.156268362
Ready to move,2150,14186,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,3,Apartment,30020525.594148863
Ready to move,5260,8079,4 BHK Apartment in SS The Hibiscus,Sector 50,Not approved by RERA,4,Apartment,39250101.19529276
Under Construction,1967,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39300000.00000115
Ready to move,344,4000,1 BHK Apartment in Signature Global Orchard Avenue,Sector 93,Not approved by RERA,1,Apartment,1383011.984248573
Ready to move,1950,15384,4 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,4,Apartment,29924118.558405995
Ready to move,2430,10699,3 BHK Independent Floor in LUXURY floorsss,DLF City Phase 1,Not approved by RERA,3,Floor,26124595.977767296
Ready to move,3043,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,66882070.44286314
Under Construction,2588,11500,3 BHK Apartment in Emaar Digi Homes,Sector 62,Approved by RERA,3,Apartment,29933685.135323655
Ready to move,6000,13333,6 BHK Apartment in Tata Raisina Residency,Sector 59,Not approved by RERA,6,Apartment,80112072.6402763
Under Construction,2290,18559,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,42499999.99999673
Ready to move,1818,20000,3 BHK Apartment in DLF The Primus,Sector 82A,Not approved by RERA,3,Apartment,36048767.559243396
Ready to move,2637,4702,4 BHK Apartment in Satya The Hermitage,Sector 103,Not approved by RERA,4,Apartment,12403033.718165273
Ready to move,2450,12244,4 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,4,Apartment,29944018.66856097
Ready to move,1700,7058,3 BHK Independent Floor,Sector-57 Gurgaon,Not approved by RERA,3,Plot,12345315.879100638
Ready to move,3203,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,70454444.01859325
Ready to move,3395,25000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,84800000.0000036
Under Construction,2055,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,452100000.00002044
Ready to move,2700,6851,4 BHK Independent Floor,Sector 52,Not approved by RERA,4,Plot,18419687.31375664
Ready to move,6000,25000,5 BHK Apartment in ABW La Lagune,Sector 54,Not approved by RERA,5,Apartment,149874673.9237212
Ready to move,3150,23390,4 BHK Apartment in Suncity Platinum Towers,Sector 28,Not approved by RERA,4,Apartment,73248750.62397152
Ready to move,1000,5600,3 BHK Apartment,Sector 12 A,Not approved by RERA,3,Plot,5603354.11958491
Ready to move,2050,17560,3 BHK Apartment,Sector 65,Not approved by RERA,3,Plot,36008832.798089504
Under Construction,1579,10766,3 BHK Apartment in TATA Housing Development La Vida,Sector 113,Approved by RERA,3,Apartment,16964428.110187605
